序号,项目编号,项目名称,实施方式,时间计划,投入估算（万元）,相关业务板块,项目启动条件,项目收益,涉及AI技术,模型选择,数据需求与来源,可行性分析,目标用户,落地路径,相关案例
11,,首营资料智能审核,采购现有解决方案,2026Q3-2027Q1,8,供应链,首营资料电子化程度达90%，建立审核标准化流程,自动审核首营资料完整性和合规性，审核时间从2天缩短至2小时,OCR、NLP、规则引擎,大模型,首营资料档案、监管部门数据库,可行性高：审核规则相对固定,质量管理中心、供应链业务部门,1.资料电子化：扫描2022年前纸质首营资料，OCR识别并分类存储；2.规则配置：梳理审核规则（如证书有效期＞6个月、经营范围包含对应药品），录入规则引擎；3.系统开发：开发审核模块，自动比对资料与监管数据库，生成审核报告；4.试点推广：先审核新供应商资料，优化后覆盖历史资料复核,"企业名称：企业13-ERP（针对医疗器械经营企业）
应用的技术：首营数智化管理系统，通过数字化、自动化和智能化手段实现资料的快速收集、高效审核和智能管理。
达成的目标与效果：实现了首营资料的电子化存储和自动化审核，提升了管理效率和合规性。
[已脱敏链接]168.com/a2025/0218/6877/000006877724.shtml

企业名称：企业11
应用技术：数据要素产品“数药通”（药品数据集整合）
目标：优化首营业务流程，提升上下游协作效率。
降本/增效/提质：通过统一数据标准，首营业务办理时间从30天缩短至3天，协作效率提升10倍。
来源网址：[已脱敏链接]
[已脱敏链接]"
12,,药品分类智能管理,合作开发,2026Q4-2027Q4,8,供应链,药品基础数据完整，建立分类标准体系,自动对新增药品进行分类管理，分类准确率达95%，人工工作量减少70%,机器学习、NLP,大模型+小模型,药品基础信息数据、分类标准数据,可行性高：分类规则相对明确,供应链业务部门,1.数据补全：梳理现有药品数据，补全适应症、医保类型等字段，对接外部药品说明书数据库；2.模型训练：基于ATC编码、医保目录训练分类模型，纳入储存条件（如冷链/常温）因子；3.系统集成：将模型嵌入ERP，新增药品时自动生成分类结果；4.验证优化：人工复核前100个新增药品分类结果，调整模型参数,"企业14：基于深度学习的药品分类编码映射系统——将药品信息自动映射到ATC等标准分类编码，使用自然语言处理（NLP）、深度神经网络（如BERT、LSTM），该系统实现了药品分类的标准化和自动化，其原理同样适用于遵循国家药监局的分类规范（如药品本位码、分类大纲等）。
[已脱敏链接]"
13,,供应商绩效智能评估助手,合作开发,2026Q3-2027Q1,8,供应链,供应商绩效数据标准化，建立评估指标体系,自动评估供应商交付质量、时效等绩效，优化供应商结构,机器学习、数据分析,小模型,供应商交付数据、质量数据、财务数据,可行性高：评估指标相对量化,供应链业务部门,1.数据打通：对接ERP、质量管理、财务系统，提取交付、质量、付款数据；2.指标定义：明确绩效指标计算口径（如交付准时率允许±1天误差）；3.模型开发：开发评分模型，按指标权重（交付40%、质量30%、服务30%）计算得分；4.应用落地：每月生成供应商绩效报表，标记优质（得分≥85）、待改进（60-84）、淘汰（＜60）供应商,"拓尔思为央企构建的供应商管理Agent，通过实时监测工商舆情、履约率、质量合格率等指标，自动生成绩效评分并动态调整供应商等级，风险预警响应速度提升。
[已脱敏链接]"
14,,采购计划智能优化,合作开发,2027Q4-2028Q2,11,供应链,需求预测系统上线，库存数据实时同步,基于需求预测和库存状况优化采购计划，库存成本降低20%,优化算法、机器学习,小模型,需求预测数据、库存数据、供应商数据,可行性中：需要多系统协同,供应链业务部门,1.前置准备：确保项目4（需求预测系统）上线且稳定，打通ERP与WMS实时接口；2.规则梳理：收集采购约束条件（如供应商产能上限、最小订单量、运输周期）；3.模型开发：基于线性规划开发采购计划优化模型，纳入需求、库存、约束因子；4.试点验证：先在慢性病药品品类试点，对比人工计划，优化后全量推广,"企业1为某制造企业搭建的智能采购系统，结合历史消耗数据、季节性需求及库存状态，自动生成采购建议，库存周转率提升。
[已脱敏链接]"
15,,药品召回智能管理,合作开发,2027Q3-2028Q1,8,供应链,药品追溯系统完善，建立召回流程标准化,快速定位需召回药品，自动生成召回方案，召回效率提升80%,机器学习、数据挖掘,小模型,药品流向数据、质量问题数据,可行性中：需要精确的追溯数据,质量管理中心、供应链业务部门,1.流程梳理：制定召回标准化流程（分一级/二级/三级召回），明确各部门职责；2.系统开发：基于追溯数据开发召回范围预测模型，用RPA自动生成召回方案、对接CRM发送通知；3.测试演练：模拟某批次药品召回，验证系统功能与流程衔接；4.上线应用：正式上线后，跟踪每起召回事件，优化模型与流程,"万里牛医药ERP解决方案：AI批号追踪、智能效期管理、冷链全链路监控，实现""一物一码""全链路追溯；效期异常自动锁定库存；召回事件响应速度从72小时提升至6小时。
[已脱敏链接]"
16,,药品价格监控预警,采购现有解决方案,2027Q2-2027Q3,8,供应链,价格数据采集机制建立，市场价格监控体系完善,实时监控药品市场价格变化，及时预警异常波动,数据挖掘、异常检测,小模型,市场价格数据、供应商报价数据,可行性高：价格数据相对标准化,供应链业务部门,1.数据采集：开发价格采集工具，每日抓取电商平台、区域采购平台价格；2.阈值设置：按药品品类（如抗生素、心血管药）设置价格波动阈值（如±15%）；3.系统开发：开发异常检测模块，触发预警后推送至供应链部门；4.定价联动：对接ERP定价模块，提供价格调整建议，如市场降价时同步下调销售价,"企业/系统名称：国家医保局药品比价系统
应用的技术：智能比价系统、药品价格异常预警模型、量价比较指数。
达成的目标与效果：试点地区通过该系统已识别异常药品定价行为4.3万次，整改完成率达91%。
[已脱敏链接]"
17,,采购合同智能生成,合作开发,2026Q4-2027Q2,8,供应链,合同模板标准化，法务审核流程电子化,基于采购需求自动生成标准化合同，合同生成效率提升70%,NLP、模板引擎,大模型,合同模板库、采购需求数据、法务条款库,可行性高：合同格式相对标准,供应链业务部门、法务部门,1.模板制定：联合法务部门制定采购合同统一模板，明确必备条款（如交货时间、质量标准、违约责任）；2.数据对接：打通ERP采购需求模块与合同系统，自动提取需求数据；3.系统开发：开发合同生成模块，用NLP填充模板、知识图谱校验合规性；4.审批对接：用RPA将生成合同推送至法务审批系统，跟踪审批进度,"企业名称：企业1（为某省级医药采购平台搭建系统）
应用的技术：智能合同、区块链存证、数据穿透、节点管控。
达成的目标与效果：构建覆盖“资质审核-价格确认-订单执行-质量追溯-结算付款”的全流程可追溯体系，使医药采购的合同履约透明度提升至100%，追溯效率提升500%。
[已脱敏链接]"
18,,供应链金融风险评估,合作开发,2027Q3-2028Q1,11,供应链,客户财务数据整合，风险评估模型建立,智能评估供应链金融业务风险，降低坏账率30%,机器学习、风险建模,小模型,客户财务数据、交易数据、外部征信数据,可行性中：需要复杂的风险建模,供应链业务部门、财务管理部,1.数据获取：与核心客户签订数据共享协议，对接其ERP、财务系统，补充现金流数据；2.模型训练：基于历史金融业务数据（成功/坏账案例）训练风险模型，纳入偿债能力（资产负债率）、履约记录（付款准时率）指标；3.系统开发：开发风险评估模块，对接外部征信平台，生成风险报告；4.试点运行：先在长期合作客户中试点，优化模型后推广至全客户,"企业名称：企业15
应用的技术：自研的数据风控大模型。
达成的目标与效果：基于医药B2B电商平台的交易场景，为下游药店提供数字信贷服务，融资利率低至3.9%，降低了平台的供应链金融服务融资成本。
[已脱敏链接]"
19,,药品库存智能补货决策,合作开发,2026Q2-2026Q4,8,供应链,库存数据实时同步，需求预测系统稳定运行,基于销售预测和库存状况自动生成补货建议，缺货率降低50%,机器学习、优化算法,小模型,库存数据、销售预测数据、供应商数据,可行性高：补货逻辑相对清晰,供应链业务部门,1.接口优化：改造WMS与ERP接口，实现库存数据实时同步（延迟＜1小时）；2.规则配置：梳理补货规则（最小补货量、安全库存、交货周期）；3.模型开发：基于需求预测数据训练补货模型，生成补货建议（品种、数量、时间）；4.推广应用：先在零售门店试点，优化后覆盖仓库补货,"企业名称：企业4
应用的技术：智能预测系统（融合区域疾病趋势、医保政策等上百维数据）。
达成的目标与效果：帮助合作药店（如企业5）库存周转效率提升30%；在流感季提前精准备货，避免缺货。
[已脱敏链接]"
20,,GSP质量飞检智能自查,合作开发,2026Q4-2027Q2,8,供应链,质量检测设备智能化改造，检测数据标准化。应对药监飞检的高频次、高标准合规要求，降低不合规风险。,利用AI技术提升药品质量检测精度和效率，检测效率提升40%,计算机视觉、机器学习,大模型+小模型,质量检测数据、药品图像数据,可行性中：需要硬件设备配合,质量管理中心,"AI知识库整合GSP全条款（含2025年最新修订版）、历史飞检案例（国家药监局公开通报1200+案例）、企业运营数据，构建“条款-数据-风险”映射模型。通过对接ERP系统自动抓取温湿度记录、药品存储台账、人员培训档案等数据，实时比对生成自查报告：标注“高风险项”（如冷链药品超温10分钟以上）并推送整改模板，同步模拟飞检流程生成迎检清单。
1.硬件改造：在仓库、冷链车加装温湿度传感器、高清摄像头，实时采集数据；2.知识库构建：整理GSP2025版条款、历史飞检案例，建立“条款-数据-风险”映射关系；3.系统开发：开发自查模块，用计算机视觉识别违规行为，比对数据生成报告；4.整改落地：推送高风险项（如冷链超温）及整改模板，跟踪整改进度","企业1为某中药企业开发的合规自查系统，自动比对GSP条款与企业操作记录，标记高风险环节（如温湿度记录缺失），人工复核效率提升。
[已脱敏链接]"
21,,采购订单智能匹配,合作开发,2027Q2-2027Q4,8,供应链,订单数据标准化，供应商产品目录完善,自动匹配采购需求与供应商产品，匹配准确率达95%,机器学习、相似度算法,小模型,采购需求数据、供应商产品数据,可行性高：匹配规则相对明确,供应链业务部门,1.数据标准化：梳理采购需求数据，统一药品规格（如mg/片）、质量要求（如GMP认证）格式；2.目录完善：收集供应商产品信息，补充规格、产能、价格字段，建立供应商产品库；3.系统开发：开发匹配模块，用相似度模型匹配需求与产品，规则引擎排序（价格40%、交期30%、绩效30%）；4.应用落地：先在常规药品采购中试点，优化后覆盖全品类,"企业名称：企业16
应用的技术：该系统整合了采购计划管理、供应商分级评价、智能库存预警等核心模块。
达成的目标与效果：系统能根据采购需求自动推荐符合资质的供应商，并支持历史交易数据对比。该系统的应用使得采购周期从平均15天缩短至7天（缩短50%），人力成本节约50%，同时库存周转率提高了30%。
网址：[已脱敏链接]"
22,,供应链异常智能预警,采购现有解决方案,2027Q4-2028Q1,11,供应链,供应链数据监控体系建立，异常识别规则完善,实时监控供应链各环节，智能识别异常情况并预警,异常检测、机器学习,小模型,供应链全流程数据,可行性中：需要全链条数据整合,供应链业务部门,1.数据中台建设：整合ERP、WMS、TMS、CRM数据，建立供应链数据中台；2.规则梳理：制定各环节异常规则（如采购延迟＞3天、库存＜安全库存50%）；3.系统开发：开发异常检测模块（用孤立森林算法）、可视化预警平台；4.响应机制：设置异常分级（一般/重要/紧急），推送至对应负责人，跟踪处理进度,"企业名称：企业17（为新华制药、科伦集团等药企提供解决方案）
应用的技术：接入DeepSeek大模型，构建数字化智能中枢，用于偏差分析、风险预警等场景。
达成的目标与效果：系统能实时分析生产、检验数据，提前72小时预警潜在偏差，使质量管控从“事后灭火”转向“事前防控”。
网址：[已脱敏链接]"
23,,药品评审智能跟踪,采购现有解决方案,2026Q2-2026Q4,8,供应链,1.建立药品评审数据库（补充历史评审数据，如评审阶段、意见）；2.配置评审平台爬虫（定时抓取国家药品评审中心CDE数据）；3.构建评审阶段分类标准（如受理、审评、审批、上市）,1.自动跟踪国家药监局CDE药品评审进度，更新频率从每周1次提升至每日1次；2.评审关键节点（如发补通知、获批）自动提醒，避免错过跟进时机；3.生成评审进度报表，为药品引进决策提供支撑,网络爬虫、NLP（评审信息提取）、规则引擎（节点提醒）、数据可视化,大模型,1.内部：药品评审数据库（补充历史数据）；2.外部：国家药品评审中心CDE官网、医药研发平台（如药智网）,可行性高：1.CDE数据公开且格式规范，爬虫易抓取；2.评审阶段分类明确，NLP可精准提取关键节点；3.开发难度低，可复用项目6“创新药研发进展跟踪”的爬虫技术,供应链业务部门,1.爬虫开发：开发适配CDE官网的爬虫，每日抓取评审数据（药品名称、阶段、意见）；2.数据清洗：用NLP提取关键信息（如评审阶段、发补时间），标准化录入数据库；3.提醒配置：设置关键节点提醒（如获批前1周、发补通知），推送至供应链部门；4.报表生成：每月生成评审进度报表，按治疗领域分类展示,"企业名称：企业18
应用的技术：基于人工智能的药品智慧审批系统，具备智能分派、智能审评等功能。
达成的目标与效果：在药品上市后场地变更等场景中，系统能自动解析申报内容，精准触发审评、检查等流程。该系统实现试点审评事项效率提升30%以上，试点审批品种全流程时限缩短至以往的50%以内。
网址：[已脱敏链接]"
24,,药品采购成本智能分析,合作开发,2026Q3-2026Q4,8,供应链,成本数据标准化，分析模型建立,深度分析采购成本构成，识别降本机会，预计每年降本200万元,数据挖掘、成本分析模型,小模型,采购成本数据、市场价格数据,可行性高：成本数据相对完整,供应链业务部门、财务管理部,1.数据标准化：梳理采购成本数据，统一构成字段（药品价、运费、税费、服务费）；2.模型开发：开发成本分析模型，分析成本结构、历史趋势，识别降本机会（如运费占比过高则建议集中运输）；3.报表生成：用BI工具制作成本分析报表，支持按品类、供应商筛选；4.降本落地：根据分析结果制定降本方案（如与3家供应商谈集中采购），跟踪效果,"企业名称：企业16
应用的技术：数据分析看板，提供采购成本分析、供应商绩效评估等20+种报表模型。
达成的目标与效果：系统通过数字化升级，助力217家医疗机构平均降低采购管理成本28%。
网址：[已脱敏链接]"
25,,智能客服（批发）,合作开发,2026Q4-2027Q2,11,供应链,1.建立批发客服知识库（含订单查询、库存咨询、物流跟踪等常见问题）；2.对接ERP、WMS、TMS系统（获取订单、库存、物流数据）；3.配置多渠道接入（电话、企业微信、邮件）,1.24小时响应批发客户咨询，常见问题解决率达80%，人工客服工作量减少50%；2.客户咨询响应时间从30分钟缩短至1分钟，客户满意度提升25%；3.减少人工客服成本，每年节约30万元,对话系统（多轮对话）、NLP（意图识别、问答匹配）、知识图谱（客服知识库）、RPA（数据查询）,大模型,1.内部：ERP订单数据、WMS库存数据、TMS物流数据、历史客服对话记录；2.外部：无（知识库基于内部数据）,可行性中：1.批发客服知识库需覆盖多场景（订单、库存、物流），需长期积累；2.多轮对话功能开发难度高，需大量对话数据训练；3.多渠道接入需对接不同平台接口,供应链业务部门,1.知识库建设：收集批发客户常见问题（如“订单何时发货”“库存是否充足”），整理答案并结构化；2.系统开发：开发对话系统，实现意图识别、多轮对话，用RPA对接ERP/WMS/TMS查询数据；3.渠道接入：对接电话、企业微信、邮件渠道，实现统一响应；4.迭代优化：分析客服对话记录，补充知识库，优化意图识别准确率,"企业名称：企业4
应用的技术：AI药师助手，基于企业19大模型技术。
达成的目标与效果：助手能即刻调取专业资料解答用户关于药品的疑问，相当于给药师配了“小老师”，给顾客配了“随身医药顾问”。
网址：[已脱敏链接]

企业名称：企业11
应用技术：RAG（检索增强生成）、知识图谱、跨系统操作优化
目标：提升客服响应效率，缓解人工压力。
降本/增效/提质：自研的药九九AI“虚拟客服”每年节省448万元坐席费用，客服坐席跨系统操作效率提升30%。
来源网址：[已脱敏链接]
[已脱敏链接]"
26,,供应商质量智能评估助手,合作开发,2026Q1-2026Q3,8,供应链,1.供应商质量数据整合（对接质量管理系统、采购验收记录、客户投诉数据）；2.建立质量评估指标体系（含验收合格率、投诉率、质量整改完成率）；3.对接外部质量监管数据（如药监局处罚记录）,1.自动评估供应商质量管理体系和能力，评估周期从20天缩短至5天；2.质量评估准确率达90%，精准识别低质量供应商（如验收合格率＜90%）；3.供应商质量问题减少30%，降低后续质量风险,机器学习（质量评分模型）、数据分析、可视化报表、风险预警,小模型,1.内部：质量管理系统验收记录、客户投诉数据（CRM）、供应商整改记录；2.外部：国家药监局处罚记录、行业质量排名,可行性高：1.内部质量数据集中在质量管理系统，易整合；2.评估指标量化（如验收合格率=合格次数/总次数），模型计算简单；3.外部监管数据公开，易获取,供应链业务部门、质量管理中心,1.数据整合：对接质量管理系统、CRM、供应商整改记录，提取质量数据；2.指标设计：制定质量评估指标（验收合格率50%、投诉率20%、整改完成率30%）；3.系统开发：开发评分模型，计算供应商质量得分，生成评估报表；4.应用落地：每季度生成供应商质量报告，作为合作续签、淘汰依据,"企业名称：企业20（服务全球制药公司）
应用的技术：QualityInsightsPlatform（质量洞察平台），基于来自4,500多次审计的专有数据库。
达成的目标与效果：该人工智能平台能将新供应商资质认证及前瞻性质量现场风险管理所需的时间和成本降低至少65%。
网址：[已脱敏链接]"
27,,品类动销智能分析,合作开发,2026Q1-2026Q2,8,供应链,1.完善品类数据（补全药品品类属性，如畅平滞分类、区域销售特征）；2.建立动销分析模型（含动销率计算、影响因子分析）；3.对接ERP销售数据、WMS库存数据,"根据影响采购周期的特征（畅平滞、省内省外、医院品种、预付款、核心品种），计算针对不同供应商最合适的采购周期

***供应商评价和管理：
***具体采购策略：销售预测（基于品类、周期、空间）——第一优先级、销售ROI（差价空间、回款周期、结算方式）
1.自动分析药品品类动销情况（如畅销品动销率＞90%、滞销品＜30%），分析周期从7天缩短至1天；2.识别滞销品类（如某抗生素动销率25%），制定清库存方案，库存积压减少40%；3.为采购策略提供支撑（如畅销品增加采购量），销售增长率提升5%",数据挖掘（动销率分析模型）、机器学习（影响因子识别）、可视化分析、策略推荐,大模型+小模型,1.内部：ERP销售数据（按品类、区域、周期）、WMS库存数据（滞销品库存）；2.外部：区域疾病发病率数据（影响动销）、竞品动销数据,可行性高：1.品类数据仅需补充畅平滞分类字段，易完善；2.动销率计算逻辑简单（动销率=销售数量/库存数量）；3.现有BI工具可支撑分析报表,供应链业务部门,1.数据补全：梳理药品品类，按销售情况分类（畅销/平销/滞销），补充区域销售特征字段；2.模型开发：开发动销分析模型，计算动销率，识别影响因子（如季节、疾病趋势）；3.报表生成：制作动销分析报表，标注滞销品类及建议（如促销清库存）；4.策略落地：根据报表调整采购策略（畅销品增加20%采购量），跟踪销售效果,"企业名称：企业4
应用的技术：智能预测系统，融合区域疾病趋势、医保政策变化等上百维数据。
达成的目标与效果：系统通过深度学习百万份临床数据，使药店库存周转效率提升30%，并在试运行期继续降低库存成本。
网址：[已脱敏链接]"
